molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4447024,C=CCN1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O,7670.0
CHEMBL4555635,CC(=O)N1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O,4810.0
CHEMBL4550808,O=C(c1ccccc1)N1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O,17200.0
CHEMBL4459646,CCOC(=O)CN1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O,3380.0
CHEMBL4460340,O=C(O)CN1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O,50000.0
CHEMBL4461659,O=C1N(CCO)Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]12Cc1ccccc1,2150.0
CHEMBL4436682,C#CCNC(=O)CN1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O,10140.0
CHEMBL4442285,C#CCN(CC(=O)NCCNC(=O)CN1Cc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@]2(Cc2ccccc2)C1=O)C(=O)CCC1(C)N=N1,18730.0
CHEMBL4557904,O=C1N(CCS(=O)(=O)c2ccccc2)Cc2cc(Cl)ccc2[C@@H]2OC(c3ccccc3)=N[C@]12Cc1ccccc1,5940.0
CHEMBL4551211,O=C1NCc2ccccc2[C@@H]2OC(c3ccc(OCCCO)cc3)=N[C@]12Cc1ccccc1,9340.0
CHEMBL4588488,O=C1N(Cc2ccccc2)Cc2ccccc2[C@@H]2OC(c3ccc(OCCCO)cc3)=N[C@]12Cc1ccccc1,7880.0
CHEMBL4468857,CC(=O)OCCCOc1ccc(C2=N[C@]3(Cc4ccccc4)C(=O)N(CCS(=O)(=O)c4ccccc4)Cc4ccccc4[C@@H]3O2)cc1,4700.0
CHEMBL4546151,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,670.0
CHEMBL4574522,O=C1NC(=O)/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)N1,7500.0
CHEMBL4448611,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4s3)o2)C1=O,5720.0
CHEMBL4441910,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccc(Cl)cc4[nH]3)o2)C1=O,790.0
CHEMBL4435169,COc1ccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c2c1,1190.0
CHEMBL4591315,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4o3)o2)C1=O,9390.0
CHEMBL4460085,CC(C)N1C(=O)S/C(=C\c2ccc(-c3nc4ccccc4[nH]3)o2)C1=O,40000.0
CHEMBL4459178,CC(C)N1C(=O)N/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,830.0
CHEMBL4564939,O=C1C/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C(=O)N1,9020.0
CHEMBL4437143,O=C1NC(=O)/C(=C/c2ccc(Sc3nc4cccnc4[nH]3)o2)S1,5600.0
CHEMBL4562187,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)s2)C1=O,1620.0
CHEMBL4473626,CC(C)(C)OC(=O)CN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,1960.0
CHEMBL4514011,COC(=O)CN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,3260.0
CHEMBL4447869,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3ncc[nH]3)o2)C1=O,20800.0
CHEMBL4450452,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3ccccn3)o2)C1=O,7670.0
CHEMBL4574806,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4n3C)o2)C1=O,1670.0
CHEMBL4442536,NCCCN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O.O=C(O)C(F)(F)F,6520.0
CHEMBL4532086,O=C(NCCCN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O)Nc1ccccc1,1220.0
CHEMBL4515903,CCNC(=O)NCCCN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,6770.0
CHEMBL4592867,CC(C)N1C(=O)N/C(=C\c2ccc(Sc3nc4ccc(Cl)cc4[nH]3)o2)C1=O,1050.0
CHEMBL4473046,Cc1cccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c12,1500.0
CHEMBL4472238,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccc(C(F)(F)F)cc4[nH]3)o2)C1=O,640.0
CHEMBL4462590,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4cc(Cl)c(Cl)cc4[nH]3)o2)C1=O,630.0
CHEMBL4438510,O=C([O-])CN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O.[Na+],33650.0
CHEMBL4448869,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,2280.0
CHEMBL4573749,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4cccc(Cl)c4[nH]3)o2)C1=O,980.0
CHEMBL4571888,CC(C)c1ccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c2c1,640.0
CHEMBL4578105,COc1cccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c12,1630.0
CHEMBL4454353,CCC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,2220.0
CHEMBL4475974,COC(=O)C(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,2770.0
CHEMBL4440863,O=C(CN1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O)N1CCN(c2ccccc2)CC1,7010.0
CHEMBL4524189,O=C1S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C(=O)N1c1ccccc1,11900.0
